#
#  metacyc 19.5 Pathways link table generated on Tue Oct 6, 2015
#
PWY-6012-1	acyl carrier protein activation	[acp] metabolism	ACP metabolism
PWY-5143	long-chain fatty acid activation	long-chain acyl-CoA synthetase pathway
PWY-721	3-methylquinoline degradation	
PWY-741	<I>p</I>-cymene degradation to <I>p</I>-cumate	
PWY-7430	indole degradation to anthranil and anthranilate	
PWY-7480	2,3-dihydroxybenzoate degradation	
PWY-7557	dehydrodiconiferyl alcohol degradation	
PWY-7698	2,5-xylenol and 3,5-xylenol degradation	
PWY0-1277	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation	3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation
PWY5F9-12	biphenyl degradation	
PWY5F9-3233	phthalate degradation	
PWY-6077	anthranilate degradation II (aerobic)	2-aminobenzoate degradation (aerobic)
2AMINOBENZDEG-PWY	anthranilate degradation III (anaerobic)	2-aminobenzoate degradation (anaerobic)
PWY-6504	anthranilate degradation IV (aerobic)	
PWY-6079	anthranilate degradation I (aerobic)	2-aminobenzoate degradation (aerobic)
PWY-283	benzoate degradation II (aerobic and anaerobic)	benzoic acid degradation
PWY-2503	benzoate degradation I (aerobic)	
PWY-5430	<i>meta</i> cleavage pathway of aromatic compounds	
PWY-1361	benzoyl-CoA degradation I (aerobic)	
P321-PWY	benzoyl-CoA degradation III (anaerobic)	anaerobic benzoyl-CoA degradation
CENTBENZCOA-PWY	benzoyl-CoA degradation II (anaerobic)	central benzoyl-CoA pathway (anaerobic)
CATECHOL-ORTHO-CLEAVAGE-PWY	catechol degradation to &beta;-ketoadipate	catechol degradation, ortho-cleavage
PWY-5417	catechol degradation III (ortho-cleavage pathway)	&beta;-ketoadipate pathway
PWY-5431	aromatic compounds degradation via &beta;-ketoadipate	&beta;-ketoadipate pathway
PWY-5415	catechol degradation I (<I>meta</I>-cleavage pathway)	
PWY-5420	catechol degradation II (<I>meta</I>-cleavage pathway)	4-oxalocrotonate pathway
P183-PWY	catechol degradation to 2-oxopent-4-enoate I	catechol degradation, <I>meta</I>-cleavage
PWY-5419	catechol degradation to 2-oxopent-4-enoate II	catechol degradation, <I>meta</I>-cleavage
PWY-6085	2,4-dichlorophenoxyacetate  degradation	
PWY-6086	4-chloro-2-methylphenoxyacetate degradation	MPCA degradation
PWY-6102	5-chloro-3-methyl-catechol degradation	
PWY-6107	chlorosalicylate degradation	4-chlorosalicylate degradation	5-chlorosalicylate degradation
PWY-6178	2,4,6-trichlorophenol degradation	
PWY-6197	chlorinated phenols degradation	
PWY-6200	2,4,5-trichlorophenoxyacetate degradation	2,4,5-trichlorophenoxyacetic acid degradation	2,4,5-T degradation
PWY-7496	linuron degradation	
PWY-7512	3,5,6-trichloro-2-pyridinol degradation	
PWY-6081	1,3-dichlorobenzene degradation	
PWY-6091	1,2,4-trichlorobenzene degradation	
14DICHLORBENZDEG-PWY	1,4-dichlorobenzene degradation	
PWY-6090	1,2-dichlorobenzene degradation	
PWY-6083	chlorobenzene degradation	
PWY-6099	1,2,4,5-tetrachlorobenzene degradation	
PWY-6215	4-chlorobenzoate degradation	
PWY-6217	3,4-dichlorobenzoate degradation	
PWY-6221	2-chlorobenzoate degradation	
PWY-6228	3-chlorobenzoate degradation III (via gentisate)	
PWY-6216	3-chlorobenzoate degradation II (via protocatechuate)	
PWY-6088	3-chlorobenzoate degradation I (via chlorocatechol)	
PWY-6084	3,5-dichlorocatechol degradation	
PWY-6087	4-chlorocatechol degradation	
PWY-6093	4,5-dichlorocatechol degradation	
PWY-6094	3,4,6-trichlorocatechol degradation	
PWY-6089	3-chlorocatechol degradation I (<i>ortho</i>)	
PWY-6214	3-chlorocatechol degradation III (<i>meta</i> pathway)	
PWY-6193	3-chlorocatechol degradation II (<i>ortho</i>)	
PWY-6103	3-chlorotoluene degradation I	
PWY-6104	3-chlorotoluene degradation II	
PWY-6192	3,4-dichlorotoluene degradation	
PWY-6191	2,5-dichlorotoluene degradation	
PWY-6190	2,4-dichlorotoluene degradation	
PWY-1381	fluorene degradation II	
FLUORENE-DEG-9-ONE-PWY	fluorene degradation I	fluorene degradation <I>via</I> 9-fluorenone
P3-PWY	gallate degradation III (anaerobic)	
GALLATE-DEGRADATION-II-PWY	gallate degradation I	
GALLATE-DEGRADATION-I-PWY	gallate degradation II	
PWY-7469	gentisate degradation II	2,5-dihydroxybenzoate degradation II
PWY-6223	gentisate degradation I	2,5-dihydroxybenzoate degradation I
PWY-6957	mandelate degradation to acetyl-CoA	
PWY-1501	mandelate degradation I	
PWY-7620	naphthalene degradation (anaerobic)	
PWY-5427	naphthalene degradation (aerobic)	
PWY-722	nicotinate degradation I	maleamate pathway	nicotinate degradation
PWY-5055	nicotinate degradation III	
PWY-5033	nicotinate degradation II	
PWY-7044	5-nitroanthranilate degradation	
PWY-7403	tetramethylpyrazine degradation	
PWY-7628	2,4-dinitroanisole degradation	
PWY-5643	2,6-dinitrotoluene degradation	
PWY-5642	2,4-dinitrotoluene degradation	
PWY-7681	1-chloro-2-nitrobenzene degradation	2-chloronitrobenzene degradation
PWY-5641	2-nitrotoluene degradation	
PWY-6051	2,4,6-trinitrotoluene degradation	TNT degradation
PWY-5644	4-nitrotoluene degradation II	
P421-PWY	4-nitrotoluene degradation I	4-nitrotoluene catabolism I
PWY-5637	nitrobenzene degradation I	
PWY-5645	4-chloronitrobenzene degradation	1-chloro-4-nitrobenzene degradation
PWY-5640	nitrobenzene degradation II	
PWY-2381	4-nitrobenzoate degradation	<i>p</i>-nitrobenzoate degradation
PWY-5647	2-nitrobenzoate degradation I	
PWY-5648	2-nitrobenzoate degradation II	
PWY-7627	2,4,6-trinitrophenol and 2,4-dinitrophenol degradation	picric acid degradation
PWY-5488	4-nitrophenol degradation II	<i>p</i>-nitrophenol degradation II
PWY-5487	4-nitrophenol degradation I	<i>p</i>-nitrophenol degradation I
PWY-5636	2-nitrophenol degradation	<i>ortho</i>-nitrophenol degradation	<i>o</i>-nitrophenol degradation
HCAMHPDEG-PWY	3-phenylpropanoate and 3-(3-hydroxyphenyl)propanoate degradation to 2-oxopent-4-enoate	3-phenylpropionate and 3-(3-hydroxyphenyl)propionate degradation to 2-oxopent-4-enoate
P281-PWY	3-phenylpropanoate degradation	3-phenylpropionate degradation	3-phenylpropionic acid degradation
PWY-6080	4-ethylphenol degradation (anaerobic)	
PWY-6690	cinnamate and 3-hydroxycinnamate degradation to 2-oxopent-4-enoate	
PWY-7046	4-coumarate degradation (anaerobic)	<i>p</i>-coumarate degradation (anaerobic)
PHENOLDEG-PWY	phenol degradation II (anaerobic)	
PWY-5418	phenol degradation I (aerobic)	
PWY-1341	phenylacetate degradation II (anaerobic)	phenylacetate oxidation (anaerobic)	phenylacetic acid degradation (anaerobic)
PWY0-321	phenylacetate degradation I (aerobic)	
PWY-6336	protocatechuate degradation III (<I>para</I>-cleavage pathway)	protocatechuate degradation via <I>para</I>-cleavage	protocatechuate 2,3-cleavage
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY	protocatechuate degradation II (ortho-cleavage pathway)	protocatechuate branch of the 3-oxoadipate pathway	protocatechuate branch of the 3-ketoadipate pathway	protocatechuate branch of the &beta;-ketoadipate pathway	protocatechuate degradation via ortho-cleavage	protocatechuate degradation via the &beta;-ketoadipate pathway	protocatechuate 3,4-cleavage
P184-PWY	protocatechuate degradation I (<I>meta</I>-cleavage pathway)	protocatechuate degradation via <I>meta</I>-cleavage	protocatechuate 4,5-cleavage
QUINATEDEG-PWY	quinate degradation I	
PWY-6416	quinate degradation II	
PWY-6224	salicylate degradation II	
PWY-6183	salicylate degradation I	
PWY-6640	salicylate degradation IV	
PWY-6636	salicylate degradation III	
PWY-6419	shikimate degradation II	
SHIKIMATEDEG-PWY	shikimate degradation I	
DESULFONATION-PWY	benzenesulfonate degradation	
PWY-6041	4-sulfocatechol degradation	
PWY-7521	3-(4-sulfophenyl)butanoate degradation	
TOLSULFDEG-PWY	4-toluenesulfonate degradation I	
PWY-5165	4-toluenesulfonate degradation II	
PWY-5180	toluene degradation I (aerobic) (<I>via</I> <i>o</I>-cresol)	
PWY-5183	superpathway of aerobic toluene degradation	
PWY-5179	toluene degradation V (aerobic) (<I>via</I> toluene-<I>cis</I>-diol)	
PWY-5182	toluene degradation II (aerobic) (via 4-methylcatechol)	
PWY-5178	toluene degradation IV (aerobic) (via catechol)	
PWY-5181	toluene degradation III (aerobic) (via <i>p</i>-cresol)	
PWY-5184	toluene degradation VI (anaerobic)	
PWY-7700	4-methylphenol degradation to protocatechuate	<i>p</I>-cresol degradation to protocatechuate
TOLUENE-DEG-2-OH-PWY	toluene degradation to 2-oxopent-4-enoate I (<I>via</I> <i>o</I>-cresol)	toluene degradation <I>via</I> 2-hydroxytoluene
TOLUENE-DEG-CATECHOL-PWY	toluene degradation to benzoate	toluene degradation <I>via</I> catechol
PWY-81	toluene degradation to benzoyl-CoA (anaerobic)	toluene oxidation (anaerobic)
TOLUENE-DEG-4-OH-PWY	toluene degradation to 4-methylphenol	toluene degradationto 4-hydroxytoluene	toluene degradation to <i>p</I>-cresol
PWY-7703	2,4-xylenol degradation to protocatechuate	
TOLUENE-DEG-3-OH-PWY	toluene degradation to 2-oxopent-4-enoate (<I>via 4-methylcatechol</i>)	toluene degradation <I>via</I> 3-hydroxytoluene
TOLUENE-DEG-DIOL-PWY	toluene degradation to 2-oxopent-4-enoate (<I>via</I> toluene-<I>cis</I>-diol)	toluene degradation <I>via</I> toluene-<I>cis</I>-diol
P165-PWY	superpathway of purines degradation in plants	
PWY-7394	urate degradation to allantoin II	
PWY-5691	urate degradation to allantoin I	
PWY-6338	superpathway of vanillin and vanillate degradation	
PWY-7097	vanillin and vanillate degradation I	
PWY-7098	vanillin and vanillate degradation II	
PWY-5429	<i>p</i>-xylene degradation to <i>p</i>-toluate	
PWY-5428	<i>m</i>-xylene degradation to <i>m</i>-toluate	
PWY-5171	<i>N</i>-cyclopropylmelamine degradation	
PWY-5170	melamine degradation	
PWY-5726	deethylsimazine degradation	
P141-PWY	atrazine degradation I (aerobic)	atrazine catabolism
PWY-5731	atrazine degradation III	atrazine catabolism
PWY-5727	atrazine degradation II	
PWY-5724	superpathway of atrazine degradation	s-triazine degradation
CYCLOHEXANOL-OXIDATION-PWY	cyclohexanol degradation	
GLYCOL-GLYOXDEG-PWY	superpathway of glycol metabolism and degradation	
PWY-6464	polyvinyl alcohol degradation	
PWY-7013	L-1,2-propanediol degradation	propylene glycol degradation
PWY-7616	methanol oxidation to carbon dioxide	
PWY0-1280	ethylene glycol degradation	
PWY66-389	phytol degradation	
PWY3O-246	(R,R)-butanediol degradation	(R,R)-butylene-glycol degradation
PWY-6388	(S,S)-butanediol degradation	(S,S)-butylene-glycol degradation
ETOH-ACETYLCOA-ANA-PWY	ethanol degradation I	acetyl-CoA biosynthesis (from alcohol)
PWY66-21	ethanol degradation II	
PWY66-162	ethanol degradation IV	
PWY66-161	oxidative ethanol degradation III	
PWY-6952	glycerophosphodiester degradation	
GOLPDLCAT-PWY	superpathway of glycerol degradation to 1,3-propanediol	
PWY-6131	glycerol degradation II	
GLYCEROLMETAB-PWY	glycerol degradation V	
PWY0-381	glycerol and glycerophosphodiester degradation	
PWY-6130	glycerol degradation III	glycerol fermentation to 1,3-propanediol	glycerol fermentation to PDO
PWY-4261	glycerol degradation I	
PWY-5386	methylglyoxal degradation I	
PWY-5458	methylglyoxal degradation V	
PWY-901	methylglyoxal degradation II	glyoxalase pathway	methylglyoxal catabolism
MGLDLCTANA-PWY	methylglyoxal degradation VI	
PWY-5456	methylglyoxal degradation VII	
PWY-5462	methylglyoxal degradation VIII	
METHGLYUT-PWY	superpathway of methylglyoxal degradation	
PWY-5453	methylglyoxal degradation III	
PWY-5459	methylglyoxal degradation IV	
PWY0-1317	L-lactaldehyde degradation (aerobic)	
PWY0-1315	L-lactaldehyde degradation (anaerobic)	
CITRULLINE-DEG-PWY	L-citrulline degradation	
PWY-6334	L-dopa degradation	dihydroxy-L-phenylalanine degradation
PWY-6344	L-ornithine degradation II (Stickland reaction)	
BETA-ALA-DEGRADATION-I-PWY	&beta;-alanine degradation I	
PWY-1781	&beta;-alanine degradation II	
PWY-6422	D-arginine degradation	arginine dehydrogenase (ADH) pathway
PWY0-1535	D-serine degradation	
PWY-7515	<i>trans</i>-3-hydroxy-L-proline degradation	
PWY-5159	<i>trans</i>-4-hydroxy-L-proline degradation II	4-hydroxyproline degradation II
HYDROXYPRODEG-PWY	<i>trans</i>-4-hydroxy-L-proline degradation I	4-hydroxyproline degradation
ALANINE-DEG3-PWY	L-alanine degradation III	
ALADEG-PWY	L-alanine degradation I	
ALACAT2-PWY	L-alanine degradation II (to D-lactate)	
PWY1-2	L-alanine degradation IV	
PWY-5742	L-arginine degradation IX (arginine:pyruvate transaminase pathway)	
ARGDEG-PWY	superpathway of L-arginine, putrescine, and 4-aminobutanoate degradation	L-arginine utilization	ADC pathway
AST-PWY	L-arginine degradation II (AST pathway)	L-arginine succinyltransferase pathway	AST pathway	ammonia-producing L-arginine catabolic pathway	L-arginine catabolism
PWY-5024	L-arginine degradation XI	
ARGDEG-IV-PWY	L-arginine degradation VIII (arginine oxidase pathway)	
ARGDEGRAD-PWY	L-arginine degradation V (arginine deiminase pathway)	L-arginine dihydrolase pathway	L-arginine deiminase degradation
PWY-7523	L-arginine degradation XII	
ARG-GLU-PWY	L-arginine degradation VII (arginase 3 pathway)	
ARGDEG-III-PWY	L-arginine degradation IV (arginine decarboxylase/agmatine deiminase pathway)	
ARGDEG-V-PWY	L-arginine degradation X (arginine monooxygenase pathway)	
ORNARGDEG-PWY	superpathway of L-arginine and L-ornithine degradation	
ASPARAGINE-DEG1-PWY-1	L-asparagine degradation III (mammalian)	
ASPARAGINE-DEG1-PWY	L-asparagine degradation I	
PWY-4002	L-asparagine degradation II	
ASPARTATE-DEG1-PWY	L-aspartate degradation I	
MALATE-ASPARTATE-SHUTTLE-PWY	L-aspartate degradation II	malate/L-aspartate shuttle pathway
PWY-5329	L-cysteine degradation III	
LCYSDEG-PWY	L-cysteine degradation II	L-cysteine catabolism	L-cysteine degradation
CYSTEINE-DEG-PWY	L-cysteine degradation I	cysteine degradation I
PWY-4321	L-glutamate degradation IV	GABA shunt	4-aminobutyrate shunt	&gamma;-aminobutyrate shunt
PWY-5766	L-glutamate degradation X	
PWY-5087	L-glutamate degradation VI (to pyruvate)	L-glutamate fermentation	mesaconate pathway	methylaspartate pathway
GLUTAMATE-DEG1-PWY	L-glutamate degradation I	GDH shunt
GLUDEG-II-PWY	L-glutamate degradation VII (to butanoate)	L-glutamate fermentation	mesaconate pathway	L-glutamate degradation VII (to butyrate)
P162-PWY	L-glutamate degradation V (via hydroxyglutarate)	L-glutamate fermentation
PWY-5088	L-glutamate degradation VIII (to propanoate)	L-glutamate fermentation	mesaconate pathway
PWY0-1305	L-glutamate degradation IX (via 4-aminobutanoate)	glutamate dependent acid resistance
GLUTAMINDEG-PWY	L-glutamine degradation I	
GLUTAMINEFUM-PWY	L-glutamine degradation II	
GLYCLEAV-PWY	glycine cleavage	glycine cleavage system	glycine decarboxylase complex	gcv system	glycine cleavage complex
HISTDEG-PWY	L-histidine degradation IV	
PWY-5031	L-histidine degradation V	
HISHP-PWY	L-histidine degradation VI	
PWY-5030	L-histidine degradation III	
HISDEG-PWY	L-histidine degradation I	
PWY-5028	L-histidine degradation II	
PWY-5078	L-isoleucine degradation II	Ehrlich pathway
ILEUDEG-PWY	L-isoleucine degradation I	
LEU-DEG2-PWY	L-leucine degradation I	
PWY-5076	L-leucine degradation III	Ehrlich pathway
PWY-5075	L-leucine degradation II	
PWY-5311	L-lysine degradation VII	
PWY-5327	superpathway of L-lysine degradation	
PWY66-425	L-lysine degradation II (L-pipecolate pathway)	
PWY-5298	L-lysine degradation VI	
PWY-5324	L-lysine degradation IX	
PWY0-461	L-lysine degradation I	
LYSINE-DEG1-PWY	L-lysine degradation XI (mammalian)	
PWY-5283	L-lysine degradation V	2-aminoadipate pathway
PWY-5314	L-lysine degradation VIII	
PWY-6328	L-lysine degradation X	
LYSDEGII-PWY	L-lysine degradation III	
PWY-5280	L-lysine degradation IV	&delta;-aminovalerate pathway	&delta;-aminovaleric acid pathway
P163-PWY	L-lysine fermentation to acetate and butanoate	3-keto-5-aminohexanoate pathway	L-lysine fermentation to acetate and butyrate
PWY-5328	superpathway of L-methionine salvage and degradation	
PWY-5082	L-methionine degradation III	Ehrlich pathway
METHIONINE-DEG1-PWY	L-methionine degradation I (to L-homocysteine)	
PWY-701	L-methionine degradation II	
PWY-7158	L-phenylalanine degradation V	
ANAPHENOXI-PWY	L-phenylalanine degradation II (anaerobic)	anaerobic L-phenylalanine oxidation
PWY-6318	L-phenylalanine degradation IV (mammalian, via side chain)	
PWY-5079	L-phenylalanine degradation III	Ehrlich pathway
PHENYLALANINE-DEG1-PWY	L-phenylalanine degradation I (aerobic)	
PROUT-PWY	L-proline degradation	L-proline utilization
SERDEG-PWY	L-serine degradation	
THREOCAT-PWY	superpathway of L-threonine metabolism	
PWY66-428	L-threonine degradation V	
THREONINE-DEG2-PWY	L-threonine degradation II	threonine dehydrogenase pathway	TDG pathway
PWY-5437	L-threonine degradation I	
PWY-5436	L-threonine degradation IV	
THRDLCTCAT-PWY	L-threonine degradation III (to methylglyoxal)	
PWY-6309	L-tryptophan degradation XI (mammalian, via kynurenine)	
PWY-6505	L-tryptophan degradation XII (Geobacillus)	
TRYPTOPHAN-DEGRADATION-1	L-tryptophan degradation III (eukaryotic)	the kynurenine pathway
PWY-5655	L-tryptophan degradation IX	
PWY-5081	L-tryptophan degradation VIII (to tryptophol)	Ehrlich pathway
PWY-6307	L-tryptophan degradation X (mammalian, via tryptamine)	
TRPCAT-PWY	L-tryptophan degradation I (via anthranilate)	anthranilate pathway
TRYPDEG-PWY	L-tryptophan degradation II (via pyruvate)	
TRPKYNCAT-PWY	L-tryptophan degradation IV (via indole-3-lactate)	tryptophan kynurenine degradation
PWY-3162	L-tryptophan degradation V (side chain pathway)	
PWY-5651	L-tryptophan degradation to 2-amino-3-carboxymuconate semialdehyde	
PWY-7514	L-tyrosine degradation IV (to 4-methylphenol)	
PWY3O-4108	L-tyrosine degradation III	
PWY-5151	L-tyrosine degradation II	
TYRFUMCAT-PWY	L-tyrosine degradation I	tyrosine fumarate catabolism
VALDEG-PWY	L-valine degradation I	
PWY-5057	L-valine degradation II	Ehrlich pathway
CO2FORM-PWY	methanogenesis from methanol	
PWY-1722	formate assimilation into 5,10-methylenetetrahydrofolate	
PWY-1881	formate oxidation to CO<sub>2</sub>	
PWY-1882	superpathway of C1 compounds oxidation to CO<sub>2</sub>	
PWY-5493	reductive monocarboxylic acid cycle	reductive monocarboxylate cycle
PWYQT-4429	CO<sub>2</sub> fixation into oxaloacetate (anaplerotic)	
PWY-5744	glyoxylate assimilation	
PWY-5743	3-hydroxypropanoate cycle	3-hydroxypropionate/malyl-CoA cycle	3-hydroxypropionate cycle
PWY-7024	superpathway of the 3-hydroxypropanoate cycle	superpathway of the 3-hydroxypropionate cycle
CODH-PWY	reductive acetyl coenzyme A pathway	Wood pathway	acetate synthesis	acetyl-CoA pathway	carbon monoxide dehydrogenase pathway	carbon fixation	CO<SUB>2</SUB> fixation	Ljungdahl-Wood pathway	Wood-Ljungdahl pathway	reductive acetyl CoA pathway
PWY-5789	3-hydroxypropanoate/4-hydroxybutanate cycle	3-HP/4-HB cycle	3-hydroxypropionate/4-hydroxybutyrate cycle
P23-PWY	reductive TCA cycle I	reductive tricarboxylic acid cycle	reductive tricarboxylic acid pathway	reductive citric acid cycle	reverse citric acid cycle	carbon fixation	CO<SUB>2</SUB> fixation	reductive carboxylic acid cycle
PWY-5392	reductive TCA cycle II	reductive tricarboxylic acid cycle	reductive tricarboxylic acid pathway	reductive citric acid cycle	reverse citric acid cycle	carbon fixation	CO<SUB>2</SUB> fixation	reductive carboxylic acid cycle
P42-PWY	incomplete reductive TCA cycle	citric acid cycle variant	tricarboxylic acid cycle variant	TCA cycle variation I	incomplete reductive tricarboxylic acid cycle
PWY-1861	formaldehyde assimilation II (RuMP Cycle)	ribulose monophosphate cycle	formaldehyde assimilation	RuMP pathway
PWY-1622	formaldehyde assimilation I (serine pathway)	
P185-PWY	formaldehyde assimilation III (dihydroxyacetone cycle)	dihydroxyacetone cycle	xylulose-monophosphate cycle
PWY-1801	formaldehyde oxidation II (glutathione-dependent)	formaldehyde oxidation II (GSH-dependent)
PWY-1723	formaldehyde oxidation V (H<sub>4</sub>MPT pathway)	
FORMASS-PWY	formaldehyde oxidation IV (thiol-independent)	
PWY1G-170	formaldehyde oxidation III (mycothiol-dependent)	mycothiol-dependent formaldehyde detoxification
